Fullname,ID
Filip Rolenec,581
Aidan Hohenstein,574
Michael Häcki,151
Nicolai Wermuth,274
Mathias Nestler,
Alexandre Afonso,187
Silvio Soom,264
Mika von Aesch,342
Ian de Cillia,516
Joscha Matzinger,121
Benoit De Mot,613
Marcel Kaufmann,426
Alistair Gadola,239
Nicola Szabo,450
Fabian Signer,98
Arjen Sietzema,447
Manuel Ochsner,589
Flavio Wolf,560
Pasquale Ruzicka,220
Roman Soom,246
Florian Pössl,81
Remo Handl,257
Leon Koch,219
Sandro Meier,230
Noah Mamié,501
Daniel Keller,334
Silvan Oertli,630
Morris Frey,430
Alain Kägi,164
Andreas Keller,463
Luca Zatti,76
Philipp Frommenwiler,303
Luis He,346
Jakob Känel,86
Mario Signer,263
Thomas Hüppi,313
Oliver Iselin,207
Iain Keeling,217
Gabriel Dalvit,311
Fabio Agnusdei,395
Marc Müller,96
Levin Rüssli,408
Till Oertli,628
Astrid Reimer-Kern,16
Yaroslav Zhyvotovskyi,2707
Pascal Schneider,330
Björn Martin,252
Manuel Fischer,634
Urs Altenburger,288
Axel Tappe,117
Cyril Iselin,367
Wojtek Wesolowski,412
Luca Wilhelmi,329
Cédric Baumgartner,627
Miklós Árpád Pollman,594
Kevin Brechbühl,115
Julian Portmann,205
Lorin Heslop,289
Erich Weidmann,89
Thomas Künzler,94
Curtis Malik,609
Marco Fasani,564
Patrick Lorenz,325
Marcin Wesolowski,1033
David Maier,266
Jan Kempf,113
Julien Duvanel,307
Samuel Arnold,555
Thomas Demmel,354
Ralph Zimmermann,570
Fabian Rindlisbacher,518
Christian Meienberg,607
Christian Zürcher,167
Jahn Bucher-Straub,403
Robin Gadola,189
Christian Donelan,439
Dawid Wojcik,385
Armand Hohenstein,478
Louai Hafez,284
Ralph Schmid,149
Raphael Paglia,638
Florian Marty,364
Dietrich Schneider,374
Julian Reusser,192
Mic Hendriksen,352
Ramona Lanz,646
Nils Rösch,190
Simon Weiss,199
Aaron Stadelmann,388
Peter Egsgaard,493
Cornelia Gutbub,12
Yannick Lindemann,176
Fernando Ferreira,2687
Luke Schweizer,381
Serges Schwarz,503
Roger Baumann,210
Adam Poturalski,283
Michael Baumann,92
Sven Inäbnit,139
Jonatan Svensson,621
Luc Scholl,188
Jan Preisig,2692
Fabian Seitz,322
Ian Schäfer,211
Michael Keller,269
Martin Büchel,495
Julia Schmalz,11
Andrew Armstrong,277
Ahmad Assi,580
Andreas Dietzsch,112
René Setschi,209
Marco Blöchlinger,93
Michael Knöpfel,508
Yanick Bregnard,223
Philipp Scambor,524
Robin Nayman,547
Patric Schneider,489
David Bernet,292
Pascal Schmid,562
Michi Schweizer,258
Patrik Märchy,386
André Gattlen,97
Marco Valpiani,122
Fabio Pasquali,619
Mikhail Reutov,465
Puneet Maheshwari,612
Felix Aschmann,159
Christof Papadopoulos,183
Rudy Pelgrims,227
Rene Ferreira,309
Oliver Bühler,400
Raphael Sommer,519
Peter Maier,100
Jürgen Kremer,80
Janick von Allmen,539
Zoran Raljevic,541
Lasse Widmer,298
Nadine Frey,644
Dominic Fässler,358
Sverre Prytz,569
Denis Mujkic,512
Juan Reyneke,393
Noel Holdener,382
André Lüscher,305
Yannic Andrey,275
Christian Ebneter,445
Marcel Minger,251
André Leu,373
Philippe Haussener,202
Jörg Dielmann,506
Tizian Moog,225
Jeremy Suchet,320
Rüedi Daniel,193
Leandro Vogel,399
Caroline Bachem,43
Nick Greter,379
Jasmin Ballmann,645
Jörg Schmid,353
Joel Siewerdt,129
Lukas Leutwyler,351
Ivo Läuppi,197
Stefan Fritsche,238
Milena Velychko,72
Daniel Elsener,78
Dimitri Steinmann,267
Paul Setschi,240
Fabian Venzin,544
Yazan Sabah Elkhair,434
Lorenz Arnet,271
Thorsten Fuchs,143
Jonas Fischer,406
Remo Kaderli,221
Jörg Ganz,285
John Beale,575
Silverio Alvarez,273
Adrian Scherer,641
Oliver Nef,153
Leon Mamie,
Adrian Kern,368
Bruno Scherrer,499
Ambre Allinckx,14
Jochen Schaumann,268
Lukas Brechbühl,156
Simon Rösner,87
Jürg Ender,398
Dominik Brunner,231
Conrad Kim,301
Sven Stahler,178
Pascal Friedli,420
Lucas Gysin,323
Thomas Schmidt,423
Joel Hinds,578
Nico Jaussi,436
Philipp Lang,200
Lubomir Jakubovic,343
Fabian Hänggi,203
Gian Andrey,390
Kevin Gut,552
Marcel Abt,191
Linus Vettiger,208
Till Gehlhaar,297
Robin Lütolf,498
Roman Lehmann,304
Alexander Kühn,215
Thierry Mösner,409
Simon Denzler,548
Tobias Fritsche,384
Lukas Fivian,349
Sean Boyle,185
Valentin Rapp,270
Kevin Kunz,452
Livio Catenazzi,232
Andy Fritschi,103
Céline Walser,648
Daniele Schober,262
Thuyavan Murugendren,432
Luisa Schneider,54
Bill Weibel,244
Stefan Eggenberger,535
Finn Rüssli,455
Michael Singer,282
Nico Heiniger,286
Raphael Ferraro,394
Philemon Zürcher,497
Damian Glaus,502
Nicolas Müller,222
Dany Oeschger,118
